"","Gold-rader","Blowfish","SHA"
"1",239.56998,834.36948,1914.9172
"2",184.69781,569.18048,1178.31047
"3",188.74911,492.1954,990.52352
"4",187.10657,459.99425,921.82943
"5",205.96316,460.0728,892.98924
"6",227.16335,468.68319,893.71389
"7",254.16096,471.49366,894.89751
"8",278.46231,492.75265,928.11375
"9",301.06919,496.986,945.5571
"10",331.38715,498.29033,958.30548
"11",341.95891,512.12234,980.98365
"12",392.70087,529.98,1054.33083
"13",448.20626,565.68191,1100.1683
"14",453.76713,605.08546,1114.83333
"15",471.05085,627.06642,1130.39925
